Car_Name               ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI         ,Price_original ,Price  ,Kilometers_Numeric ,Price_Numeric ,Year ,EMI_Numeric
Hyundai Xcent          ,S 1.2                              ,98.00k km  ,Petrol    ,Manual       ,"8,954/m*"  ,3.40L          ,None   ,             98.0  ,              ,2014 ,     8954.0
Hyundai i20            ,SPORTZ 1.2                         ,90.77k km  ,Petrol    ,Manual       ,"7,532/m*"  ,1.60L          ,None   ,             90.77 ,              ,2012 ,     7532.0
Hyundai i20            ,ASTA 1.2                           ,1.4L km    ,Petrol    ,Manual       ,"14,660/m*" ,1.70L          ,1.65L  ,              1.4  ,         1.65 ,2011 ,    14660.0
Hyundai i10            ,ASTA 1.2                           ,78.52k km  ,Petrol    ,Manual       ,0.97 lakh   ,0.97L          ,None   ,             78.52 ,              ,2010 ,        0.0
Hyundai i20            ,ASTA 1.2                           ,67.55k km  ,Petrol    ,Manual       ,"15,815/m*" ,1.78L          ,None   ,             67.55 ,              ,2011 ,    15815.0
Hyundai Grand i10      ,SPORTZ (O) AT 1.2 KAPPA VTVT       ,42.88k km  ,Petrol    ,Auto         ,"5,865/m*"  ,3.00L          ,None   ,             42.88 ,              ,2017 ,     5865.0
Hyundai VENUE          ,S+ 1.2                             ,41.64k km  ,Petrol    ,Manual       ,"12,121/m*" ,6.40L          ,6.20L  ,             41.64 ,         6.2  ,2021 ,    12121.0
Hyundai i20            ,SPORTZ 1.2                         ,76.42k km  ,Petrol    ,Manual       ,"7,971/m*"  ,2.40L          ,None   ,             76.42 ,              ,2013 ,     7971.0
Hyundai i10            ,SPORTZ 1.2                         ,1.0L km    ,Petrol    ,Manual       ,1.02 lakh   ,1.02L          ,None   ,              1.0  ,              ,2010 ,        1.0
Hyundai i20            ,ASTA 1.2                           ,88.62k km  ,Petrol    ,Manual       ,"12,439/m*" ,1.40L          ,None   ,             88.62 ,              ,2011 ,    12439.0
Hyundai i20            ,ASTA 1.2                           ,82.78k km  ,Petrol    ,Manual       ,"6,178/m*"  ,1.86L          ,None   ,             82.78 ,              ,2013 ,     6178.0
Hyundai i20            ,MAGNA 1.2                          ,33.18k km  ,Petrol    ,Manual       ,"9,533/m*"  ,2.87L          ,None   ,             33.18 ,              ,2013 ,     9533.0
Hyundai i20            ,ASTA 1.2                           ,80.29k km  ,Petrol    ,Manual       ,"9,034/m*"  ,2.72L          ,None   ,             80.29 ,              ,2013 ,     9034.0
Hyundai i10            ,SPORTZ 1.2                         ,68.40k km  ,Petrol    ,Manual       ,1.21 lakh   ,1.21L          ,None   ,             68.4  ,              ,2010 ,        1.0
